Email,First Name,Last Name,Company,Department,Team,Captain
skennerbe@sfgate.com,Sheffield,Kenner,Group 32,Back-office,Support,True
jshead29@wsj.com,Joli,Shead,Group 32,Dev,CRUD A,False
nkuhndel8x@t.co,Nissie,Kuhndel,Group 32,Dev,Mobile B,False
plarrosadv@livejournal.com,Pansie,Larrosa,Group 32,Dev,Mobile A,False
jdallmannal@histats.com,Josiah,Dallmann,Group 32,Dev,Windows A,False
tbertolin5z@reuters.com,Tracy,Bertolin,Group 32,Sales,UK,False
sashenhurst1d@multiply.com,Shanta,Ashenhurst,Group 32,Sales,Australia,False
hschollar38@google.nl,Harriett,Schollar,Group 32,Sales,Chile,False
sflaunier6a@unesco.org,Sosanna,Flaunier,Group 32,Sales,Mexico,False
tfegan6d@ca.gov,Tammara,Fegan,Group 32,Sales,Portugal,False
cgabbitas8n@washington.edu,Corenda,Gabbitas,Group 32,Sales,Bolivia,False
