id,FirstName,LastName,Email,Team,Department,JoinDate,IsCaptain
7,Feodor,Adolf,fadolf6@arstechnica.com,Finance,Back-office,2/4/2012,FALSE
9,Jacinthe,O' Bee,jobee8@ifeng.com,Marketing,Back-office,6/14/2022,FALSE
20,Hortensia,Eich,heichj@springer.com,Support,Back-office,3/19/2011,FALSE
21,Amie,Busson,abussonk@usgs.gov,HR,Back-office,2/4/2015,FALSE
23,Corrinne,Wiltshire,cwiltshirem@youtu.be,Legal,Back-office,4/18/2006,FALSE
28,Miof mela,Aguirrezabala,maguirrezabalar@odnoklassniki.ru,Marketing,Back-office,10/21/2021,FALSE
32,Thoma,Josefer,tjoseferv@ezinearticles.com,Marketing,Back-office,10/7/2010,TRUE
38,Allegra,Wickham,awickham11@technorati.com,Legal,Back-office,5/2/2007,FALSE
39,Roxi,Debill,rdebill12@addthis.com,HR,Back-office,11/21/2009,FALSE
48,Maren,Tolcharde,mtolcharde1b@google.com,Support,Back-office,8/29/2007,FALSE
75,Maurice,Sycamore,msycamore22@ycombinator.com,Finance,Back-office,7/23/2009,TRUE
78,Daile,Cornbill,dcornbill25@seesaa.net,Legal,Back-office,2/9/2006,FALSE
84,Kelsey,Shawel,kshawel2b@spotify.com,Marketing,Back-office,9/21/2015,FALSE
85,Rozamond,Egiloff,regiloff2c@angelfire.com,Finance,Back-office,9/20/2017,FALSE
89,Etty,Lacheze,elacheze2g@gov.uk,Finance,Back-office,1/5/2018,FALSE
96,Alecia,Baitson,abaitson2n@squarespace.com,Finance,Back-office,10/7/2018,FALSE
98,Myrilla,Kettoe,mkettoe2p@imageshack.us,HR,Back-office,8/26/2021,FALSE
100,Georgia,Arden,garden2r@gov.uk,Legal,Back-office,5/23/2010,FALSE
106,Aidan,Large,alarge2x@msu.edu,HR,Back-office,6/11/2017,FALSE
107,Pammy,Haliday,phaliday2y@skyrock.com,Legal,Back-office,10/15/2015,FALSE
112,Gleda,Rojel,grojel33@ucoz.ru,Finance,Back-office,1/4/2020,FALSE
129,Kevan,Worvell,kworvell3k@histats.com,Legal,Back-office,8/18/2020,FALSE
139,Emera,Bloxsum,ebloxsum3u@cafepress.com,Marketing,Back-office,10/10/2015,FALSE
141,Corette,Berrigan,cberrigan3w@google.co.uk,HR,Back-office,3/27/2010,FALSE
150,Evyn,Vasiljevic,evasiljevic45@list-manage.com,Support,Back-office,2/27/2009,FALSE
152,Darelle,Melbert,dmelbert47@craigslist.org,Marketing,Back-office,4/1/2014,FALSE
171,Marc,Daintree,mdaintree4q@house.gov,Marketing,Back-office,4/5/2012,FALSE
181,Cullen,Cracknell,ccracknell50@stumbleupon.com,HR,Back-office,4/9/2006,FALSE
190,Dorene,Kermit,dkermit59@dion.ne.jp,Legal,Back-office,7/6/2020,FALSE
195,Dianemarie,Everit,deverit5e@wp.com,Support,Back-office,5/8/2014,FALSE
197,Kirstin,Joy,kjoy5g@cnn.com,Finance,Back-office,12/23/2021,FALSE
204,Hunter,Fullegar,hfullegar5n@quantcast.com,Legal,Back-office,11/4/2014,FALSE
206,Irv,Gadsdon,igadsdon5p@parallels.com,Finance,Back-office,3/5/2013,FALSE
210,Florance,Duplan,fduplan5t@dailymail.co.uk,Legal,Back-office,12/27/2010,FALSE
217,Natty,Dahlbom,ndahlbom60@state.gov,Legal,Back-office,9/16/2017,FALSE
221,Nydia,Gildroy,ngildroy64@taobao.com,HR,Back-office,10/5/2007,FALSE
222,Alidia,Pitsall,apitsall65@photobucket.com,Legal,Back-office,7/18/2016,FALSE
232,Dale,Cropper,dcropper6f@mozilla.com,Finance,Back-office,5/16/2011,FALSE
235,Danyette,Lanphere,dlanphere6i@squarespace.com,HR,Back-office,5/2/2017,FALSE
247,Kendricks,Gavan,kgavan6u@wikispaces.com,Legal,Back-office,11/16/2017,FALSE
250,Kassie,Joselevitz,kjoselevitz6x@prweb.com,Support,Back-office,8/31/2012,FALSE
263,Whitman,Flello,wflello7a@whitehouse.gov,HR,Back-office,10/1/2011,FALSE
264,Cherilynn,Riseley,criseley7b@purevolume.com,Legal,Back-office,12/27/2021,FALSE
277,Estrellita,Cubberley,ecubberley7o@stumbleupon.com,HR,Back-office,12/27/2013,FALSE
298,Miranda,Porteous,mporteous89@hhs.gov,Legal,Back-office,8/3/2009,TRUE
299,Clywd,Snel,csnel8a@cnn.com,Marketing,Back-office,2/3/2009,FALSE
302,Katuscha,Gooley,kgooley8d@weather.com,Support,Back-office,3/7/2012,TRUE
310,Alison,Benwell,abenwell8l@reference.com,Marketing,Back-office,2/20/2014,FALSE
319,Marilee,Beringer,mberinger8u@rediff.com,Marketing,Back-office,4/24/2019,FALSE
329,Lion,Cobbold,lcobbold94@ucla.edu,Finance,Back-office,8/6/2021,FALSE
334,Chrysa,Chalfant,cchalfant99@nymag.com,Legal,Back-office,9/16/2006,TRUE
340,Lanie,Jobey,ljobey9f@wired.com,Legal,Back-office,3/8/2014,FALSE
